category,data_type,geography_type,geography_name,year,quarter,entity_type,entity_name,count,amount,metric_type,latitude,longitude,success,code,response_timestamp,coordinate_index,text_value,file_source,processed_at,response_timestamp_clean,year_quarter,amount_crores,count_millions,location_name,state_clean,country,region,has_coordinates,entity_level
top,transaction,country,india,2022,4,state,telangana,1819506832.0,2978252562916.1367,TOTAL,18.1124,79.0193,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,297825.26,1819.507,Telangana,Telangana,India,South India,True,1.0
top,transaction,country,india,2022,4,pincode,700039,119193886.0,219834107643.85355,TOTAL,22.5355,88.3737,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,21983.41,119.194,Kolkata,West Bengal,India,East India,True,3.0
top,transaction,country,india,2022,4,pincode,751001,140210762.0,184650659638.9054,TOTAL,20.2961,85.8245,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,18465.07,140.211,Bhubaneswar,Odisha,India,East India,True,3.0
top,transaction,country,india,2022,4,pincode,800001,167166031.0,269652534972.6013,TOTAL,25.5941,85.1376,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,26965.25,167.166,Patna,Bihar,India,East India,True,3.0
top,transaction,country,india,2022,4,pincode,400070,180508440.0,226320223720.0673,TOTAL,19.1136,72.8697,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,22632.02,180.508,Mumbai,Maharashtra,India,West India,True,3.0
top,transaction,country,india,2022,4,pincode,480001,240053791.0,341860974379.64307,TOTAL,23.1815,79.9864,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,34186.1,240.054,Jabalpur,Madhya Pradesh,India,Central India,True,3.0
top,transaction,country,india,2022,4,pincode,302012,255709582.0,401447081116.4074,TOTAL,26.8851,75.8069,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,40144.71,255.71,Jaipur,Rajasthan,India,West India,True,3.0
top,transaction,country,india,2022,4,pincode,110006,258183697.0,349487194869.16797,TOTAL,28.6304,77.2177,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,34948.72,258.184,Delhi,Delhi,India,North India,True,3.0
top,transaction,country,india,2022,4,pincode,560027,290033166.0,383980424744.5664,TOTAL,12.9698,77.75,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,38398.04,290.033,Bangalore,Karnataka,India,South India,True,3.0
top,transaction,country,india,2022,4,pincode,500034,967508435.0,1501499856273.482,TOTAL,17.4065,78.4772,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,150149.99,967.508,Hyderabad,Telangana,India,South India,True,3.0
top,transaction,country,india,2022,4,district,rangareddy,191136402.0,295773661437.69385,TOTAL,17.2403,78.4294,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,29577.37,191.136,Rangareddy,Telangana,India,South India,True,2.0
top,transaction,country,india,2022,4,district,khordha,208260666.0,268479766618.4059,TOTAL,20.5937,78.9629,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,26847.98,208.261,Khordha,India,India,Other,False,2.0
top,transaction,country,india,2022,4,district,patna,217434851.0,352393762150.454,TOTAL,20.5937,78.9629,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,35239.38,217.435,Patna,India,India,Other,False,2.0
top,transaction,country,india,2022,4,district,chhindwara,245710341.0,350638062974.85736,TOTAL,20.5937,78.9629,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,35063.81,245.71,Chhindwara,India,India,Other,False,2.0
top,transaction,country,india,2022,4,district,mumbai suburban,248827345.0,310278216439.5166,TOTAL,20.5937,78.9629,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,31027.82,248.827,Mumbai Suburban,India,India,Other,False,2.0
top,transaction,country,india,2022,4,pincode,411033,263248580.0,298971294541.89966,TOTAL,19.7515,75.7139,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,29897.13,263.249,Pincode 411033,Maharashtra,India,West India,True,3.0
top,transaction,country,india,2022,4,district,jaipur,404922774.0,635458549842.8215,TOTAL,20.5937,78.9629,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,63545.85,404.923,Jaipur,India,India,Other,False,2.0
top,transaction,country,india,2022,4,district,central delhi,280960656.0,386107883617.5307,TOTAL,28.6562,77.241,True,SUCCESS,1674558210200.0,,,top/transaction/country/india/2022/4.csv,2025-07-12 09:12:05.915850,2023-01-24 11:03:30.200,2022-Q4,38610.79,280.961,Central Delhi,Delhi,India,North India,True,2.0
